            full/TLSv1.3draft21  SH/TLSv1.3draft21  full/TLSv1.3draft23  \
date                                                                      
2017-10-01             0.000000           0.000000             0.000000   
2017-11-01             0.000000           0.000000             0.000000   
2017-12-01             0.000000           0.000000             0.000000   
2018-01-01             0.000000           0.000000             0.000000   
2018-02-01             0.011526           0.000195             0.000000   
2018-03-01             0.009756           0.000287             0.000000   
2018-04-01             0.009132           0.000172             0.001551   
2018-05-01             0.000000           0.000000             0.014351   
2018-06-01             0.000000           0.000000             0.014450   
2018-07-01             0.000000           0.000000             0.016277   
2018-08-01             0.000000           0.000000             0.016619   
2018-09-01             0.000000           0.000000             0.017946   
2018-10-01             0.000000           0.000000             0.000000   
2018-11-01             0.000000           0.000000             0.000000   
2018-12-01             0.000000           0.000000             0.000000   
2019-01-01             0.000000           0.000000             0.000000   
2019-02-01             0.000000           0.000000             0.000000   
2019-03-01             0.000000           0.000000             0.000000   
2019-04-01             0.000000           0.000000             0.000000   
2019-05-01             0.000000           0.000000             0.000000   
2019-06-01             0.000000           0.000000             0.000000   
2019-07-01             0.000000           0.000000             0.000000   
2019-08-01             0.000000           0.000000             0.000000   
2019-09-01             0.000000           0.000000             0.000000   
2019-10-01             0.000000           0.000000             0.000000   
2019-11-01             0.000000           0.000000             0.000000   

            SH/TLSv1.3draft23  full/TLSv1.3  SH/TLSv1.3  
date                                                     
2017-10-01           0.000000      0.000000    0.000000  
2017-11-01           0.000000      0.000000    0.000000  
2017-12-01           0.000000      0.000000    0.000000  
2018-01-01           0.000000      0.000000    0.000000  
2018-02-01           0.000000      0.000000    0.000000  
2018-03-01           0.000000      0.000000    0.000000  
2018-04-01           0.000057      0.000000    0.000000  
2018-05-01           0.000238      0.000000    0.000000  
2018-06-01           0.000189      0.000000    0.000000  
2018-07-01           0.000093      0.000000    0.000000  
2018-08-01           0.000046      0.000000    0.000000  
2018-09-01           0.000000      0.000000    0.000000  
2018-10-01           0.000000      0.000000    0.000000  
2018-11-01           0.000000      0.000000    0.000000  
2018-12-01           0.000000      0.000000    0.000000  
2019-01-01           0.000000      0.000000    0.000000  
2019-02-01           0.000000      0.002408    0.000000  
2019-03-01           0.000000      0.174437    0.001669  
2019-04-01           0.000000      0.967001    0.000000  
2019-05-01           0.000000      0.370674    0.056085  
2019-06-01           0.000000      0.634780    0.012237  
2019-07-01           0.000000      0.540541    0.018796  
2019-08-01           0.000000      0.568684    0.061968  
2019-09-01           0.000000      0.582810    0.028285  
2019-10-01           0.000000      0.702662    0.030046  
2019-11-01           0.000000      9.736141    0.069555  
