            full/TLSv1.3draft18  SH/TLSv1.3draft18  full/TLSv1.3draft22  \
date                                                                      
2017-10-01             0.000000           0.115118             0.000000   
2017-11-01             0.000000           0.040237             0.000000   
2017-12-01             0.000000           0.040115             0.000000   
2018-01-01             0.000000           0.031239             0.000000   
2018-02-01             0.016553           0.000437             0.000036   
2018-03-01             0.022157           0.000193             0.000000   
2018-04-01             0.020290           0.000213             0.000000   
2018-05-01             0.019746           0.000197             0.000000   
2018-06-01             0.020094           0.000063             0.000000   
2018-07-01             0.015088           0.000072             0.000000   
2018-08-01             0.011990           0.000055             0.000000   
2018-09-01             0.010933           0.000055             0.000000   
2018-10-01             0.009404           0.000073             0.000000   
2018-11-01             0.015000           0.000128             0.000000   
2018-12-01             0.014296           0.000162             0.000000   
2019-01-01             0.014273           0.000109             0.000000   
2019-02-01             0.011465           0.000130             0.000000   
2019-03-01             0.000000           0.012296             0.000000   
2019-04-01             0.000000           0.009884             0.000000   
2019-05-01             0.000000           0.009329             0.000000   
2019-06-01             0.009502           0.000089             0.000000   
2019-07-01             0.006890           0.000026             0.000000   
2019-08-01             0.000710           0.000000             0.000000   
2019-09-01             0.000437           0.000000             0.000000   
2019-10-01             0.000371           0.000000             0.000000   
2019-11-01             0.000297           0.000000             0.000000   

            SH/TLSv1.3draft22  full/TLSv1.3draft23  SH/TLSv1.3draft23  \
date                                                                    
2017-10-01           0.000000             0.000000           0.000000   
2017-11-01           0.000000             0.000000           0.000000   
2017-12-01           0.000000             0.000000           0.000000   
2018-01-01           0.000000             0.000000           0.000000   
2018-02-01           0.000000             0.000000           0.000000   
2018-03-01           0.000000             0.000290           0.000000   
2018-04-01           0.000000             0.000427           0.000000   
2018-05-01           0.000000             0.000834           0.000000   
2018-06-01           0.000000             0.001049           0.000298   
2018-07-01           0.000000             0.000783           0.009769   
2018-08-01           0.000000             0.001551           0.009498   
2018-09-01           0.000000             0.006451           0.005877   
2018-10-01           0.000012             0.009962           0.003817   
2018-11-01           0.000000             0.035094           0.000640   
2018-12-01           0.000000             0.041246           0.000835   
2019-01-01           0.000000             0.040608           0.000628   
2019-02-01           0.000000             0.007478           0.000365   
2019-03-01           0.000000             0.000000           0.001774   
2019-04-01           0.000000             0.000000           0.003453   
2019-05-01           0.000000             0.000000           0.001321   
2019-06-01           0.000000             0.001687           0.000000   
2019-07-01           0.000000             0.001368           0.000000   
2019-08-01           0.000000             0.001151           0.000000   
2019-09-01           0.000000             0.000898           0.000000   
2019-10-01           0.000000             0.000764           0.000000   
2019-11-01           0.000000             0.000405           0.000000   

            full/TLSv1.3draft26  SH/TLSv1.3draft26  full/TLSv1.3draft28  \
date                                                                      
2017-10-01             0.000000            0.00000             0.000000   
2017-11-01             0.000000            0.00000             0.000000   
2017-12-01             0.000000            0.00000             0.000000   
2018-01-01             0.000000            0.00000             0.000000   
2018-02-01             0.000000            0.00000             0.000000   
2018-03-01             0.000000            0.00000             0.000000   
2018-04-01             0.000000            0.00000             0.000000   
2018-05-01             0.000000            0.00000             0.000000   
2018-06-01             0.000000            0.00000             0.000000   
2018-07-01             0.000000            0.00000             0.000000   
2018-08-01             0.000000            0.00000             0.000000   
2018-09-01             0.000000            0.00000             0.000000   
2018-10-01             0.000000            0.00000             0.000000   
2018-11-01             0.000000            0.00000             0.000000   
2018-12-01             0.000000            0.00000             0.000000   
2019-01-01             0.000000            0.00000             0.000000   
2019-02-01             0.036063            0.00000             0.002658   
2019-03-01             0.046089            0.00000             0.003796   
2019-04-01             0.050968            0.00000             0.002382   
2019-05-01             0.040039            0.00000             0.000908   
2019-06-01             0.041116            0.00071             0.001243   
2019-07-01             0.035970            0.00000             0.001187   
2019-08-01             0.016312            0.00000             0.001127   
2019-09-01             0.000000            0.00000             0.000947   
2019-10-01             0.000000            0.00000             0.000895   
2019-11-01             0.000000            0.00000             0.000863   

            SH/TLSv1.3draft28  full/TLSv1.3  SH/TLSv1.3  
date                                                     
2017-10-01           0.000000      0.000000    0.000000  
2017-11-01           0.000000      0.000000    0.000000  
2017-12-01           0.000000      0.000000    0.000000  
2018-01-01           0.000000      0.000000    0.000000  
2018-02-01           0.000000      0.000000    0.000000  
2018-03-01           0.000000      0.000000    0.000000  
2018-04-01           0.000000      0.000000    0.000000  
2018-05-01           0.000000      0.000000    0.000000  
2018-06-01           0.000000      0.000000    0.000000  
2018-07-01           0.000000      0.000000    0.000000  
2018-08-01           0.000000      0.000000    0.000000  
2018-09-01           0.000000      0.000000    0.000000  
2018-10-01           0.000000      0.000000    0.000000  
2018-11-01           0.000000      0.000000    0.000000  
2018-12-01           0.000000      0.000000    0.000000  
2019-01-01           0.000000      0.000000    0.000000  
2019-02-01           0.000052      0.814443    0.009876  
2019-03-01           0.000041      1.012884    0.012832  
2019-04-01           0.000000      1.435800    0.005716  
2019-05-01           0.000605      1.364641    0.295136  
2019-06-01           0.000178      1.794349    0.025220  
2019-07-01           0.000077      2.063950    0.016385  
2019-08-01           0.000024      2.429198    0.020525  
2019-09-01           0.000024      2.522726    0.021072  
2019-10-01           0.000022      2.658732    0.018185  
2019-11-01           0.000000      3.084576    0.018615  
