            SH/TLSv1.3draft18  full/TLSv1.3draft22  full/TLSv1.3draft23  \
date                                                                      
2017-10-01           3.389831             0.000000             0.000000   
2017-11-01          12.545455             0.000000             0.000000   
2017-12-01           8.450704             0.000000             0.000000   
2018-01-01          12.958963             0.000000             0.000000   
2018-02-01           0.000000             8.241206             0.000000   
2018-03-01           0.000000             1.192925            53.331962   
2018-04-01           0.000000             0.000000            83.336402   
2018-05-01           0.000000             0.000000            84.338606   
2018-06-01           0.000000             0.000000            84.962406   
2018-07-01           0.000000             0.000000            85.108238   
2018-08-01           0.000000             0.000000            82.456140   
2018-09-01           0.000000             0.000000            84.079099   
2018-10-01           0.000000             0.000000            89.970547   
2018-11-01           0.000000             0.000000            87.709723   
2018-12-01           0.000000             0.000000            92.488114   
2019-01-01           0.000000             0.000000            93.525381   
2019-02-01           0.000000             0.000000            49.760090   
2019-03-01           0.000000             0.000000             0.000000   
2019-04-01           0.000000             0.000000             0.000000   
2019-05-01           0.000000             0.000000             0.000000   
2019-06-01           0.000000             0.000000             0.000000   
2019-07-01           0.000000             0.000000             0.000000   
2019-08-01           0.000000             0.000000             0.000000   
2019-09-01           0.000000             0.000000             0.000000   
2019-10-01           0.000000             0.000000             0.000000   
2019-11-01           0.000000             0.000000             0.000000   

            SH/TLSv1.3draft23  full/TLSv1.3  SH/TLSv1.3  
date                                                     
2017-10-01           0.000000      0.000000    0.000000  
2017-11-01           0.000000      0.000000    0.000000  
2017-12-01           0.000000      0.000000    0.000000  
2018-01-01           0.000000      0.000000    0.000000  
2018-02-01           0.000000      0.000000    0.000000  
2018-03-01           0.082271      0.000000    0.000000  
2018-04-01           5.247652      0.000000    0.000000  
2018-05-01           6.049018      0.000000    0.000000  
2018-06-01           6.195489      0.000000    0.000000  
2018-07-01           5.622548      0.000000    0.000000  
2018-08-01           5.533063      0.000000    0.000000  
2018-09-01           5.124134      0.000000    0.000000  
2018-10-01           6.402108      0.000000    0.000000  
2018-11-01           5.619567      0.000000    0.000000  
2018-12-01           6.212361      0.000000    0.000000  
2019-01-01           5.957209      0.000000    0.000000  
2019-02-01           4.360711     44.792549    0.112899  
2019-03-01           0.000000     80.661968    0.214527  
2019-04-01           0.000000     95.924309    0.000000  
2019-05-01           0.000000     84.746657   12.931034  
2019-06-01           0.000000     80.970325    0.235516  
2019-07-01           0.000000     99.402206    0.075777  
2019-08-01           0.000000     99.403979    0.061355  
2019-09-01           0.000000     99.260009    0.218103  
2019-10-01           0.000000     98.855376    0.175453  
2019-11-01           0.000000     89.672882    0.178631  
