            full/TLSv1.3draft18  SH/TLSv1.3draft18  full/TLSv1.3draft23  \
date                                                                      
2017-10-01             0.000000           0.000484             0.000000   
2017-11-01             0.000000           0.000114             0.000000   
2017-12-01             0.000000           0.000114             0.000000   
2018-01-01             0.000000           0.000115             0.000000   
2018-02-01             0.000173           0.000000             0.000000   
2018-03-01             0.000113           0.000000             0.000000   
2018-04-01             0.000129           0.000000             0.000000   
2018-05-01             0.000162           0.000000             0.000000   
2018-06-01             0.000169           0.000000             0.000000   
2018-07-01             0.000130           0.000000             0.000000   
2018-08-01             0.000018           0.000000             0.000128   
2018-09-01             0.000017           0.000000             0.000120   
2018-10-01             0.000000           0.000000             0.000136   
2018-11-01             0.000000           0.000000             0.000133   
2018-12-01             0.000000           0.000000             0.000189   
2019-01-01             0.000000           0.000000             0.000183   
2019-02-01             0.000000           0.000000             0.000172   
2019-03-01             0.000000           0.000000             0.000000   
2019-04-01             0.000000           0.000000             0.000000   
2019-05-01             0.000000           0.000000             0.000000   
2019-06-01             0.000000           0.000000             0.000112   
2019-07-01             0.000000           0.000000             0.000060   
2019-08-01             0.000000           0.000000             0.000051   
2019-09-01             0.000000           0.000000             0.000000   
2019-10-01             0.000000           0.000000             0.000000   
2019-11-01             0.000000           0.000000             0.000000   

            SH/TLSv1.3draft23  full/TLSv1.3  SH/TLSv1.3  
date                                                     
2017-10-01           0.000000      0.000000    0.000000  
2017-11-01           0.000000      0.000000    0.000000  
2017-12-01           0.000000      0.000000    0.000000  
2018-01-01           0.000000      0.000000    0.000000  
2018-02-01           0.000000      0.000000    0.000000  
2018-03-01           0.000000      0.000000    0.000000  
2018-04-01           0.000000      0.000000    0.000000  
2018-05-01           0.000000      0.000000    0.000000  
2018-06-01           0.000000      0.000000    0.000000  
2018-07-01           0.000000      0.000000    0.000000  
2018-08-01           0.000018      0.000000    0.000000  
2018-09-01           0.000000      0.000000    0.000000  
2018-10-01           0.000000      0.000000    0.000000  
2018-11-01           0.000000      0.000000    0.000000  
2018-12-01           0.000000      0.000000    0.000000  
2019-01-01           0.000000      0.000000    0.000000  
2019-02-01           0.000000      0.005045    0.000000  
2019-03-01           0.000094      0.006982    0.000000  
2019-04-01           0.000146      0.010894    0.000000  
2019-05-01           0.000065      0.002469    0.000579  
2019-06-01           0.000000      0.005787    0.000000  
2019-07-01           0.000000      0.007203    0.000009  
2019-08-01           0.000000      0.004605    0.000009  
2019-09-01           0.000000      0.004900    0.000017  
2019-10-01           0.000000      0.006735    0.000026  
2019-11-01           0.000000      0.016724    0.000105  
