            full/TLSv1.3draft18  SH/TLSv1.3draft18  full/TLSv1.3draft23  \
date                                                                      
2017-10-01             0.000000          15.170139             0.000000   
2017-11-01             0.000000          12.793856             0.000000   
2017-12-01             0.000000          13.261989             0.000000   
2018-01-01             0.000000          13.541541             0.000000   
2018-02-01            12.509041           0.082427             0.000000   
2018-03-01            13.439135           0.063525             0.000000   
2018-04-01            15.445573           0.078569             0.000000   
2018-05-01            16.926278           0.076156             0.000000   
2018-06-01            17.498852           0.057599             0.000000   
2018-07-01             5.220294           0.047872             0.009598   
2018-08-01             4.562411           0.043317            12.442983   
2018-09-01             4.627152           0.042136            13.849222   
2018-10-01             3.672675           0.081151            12.419769   
2018-11-01             0.520596           0.012095            13.694184   
2018-12-01             0.359230           0.008556            12.334936   
2019-01-01             0.286209           0.007001            12.289555   
2019-02-01             0.226484           0.045344             1.969264   
2019-03-01             0.000000           0.356144             0.000000   
2019-04-01             0.000000           0.194912             0.000000   
2019-05-01             0.000000           0.058470             0.000000   
2019-06-01             0.059134           0.000000             0.002068   
2019-07-01             0.396105           0.026980             0.053596   
2019-08-01             0.024849           0.000124             0.001854   
2019-09-01             0.015784           0.000000             0.001127   
2019-10-01             0.026028           0.000125             0.001001   
2019-11-01             0.015371           0.000000             0.000000   

            SH/TLSv1.3draft23  full/TLSv1.3  SH/TLSv1.3  
date                                                     
2017-10-01           0.000000      0.000000    0.000000  
2017-11-01           0.000000      0.000000    0.000000  
2017-12-01           0.000000      0.000000    0.000000  
2018-01-01           0.000000      0.000000    0.000000  
2018-02-01           0.000000      0.000000    0.000000  
2018-03-01           0.000000      0.000000    0.000000  
2018-04-01           0.000000      0.000000    0.000000  
2018-05-01           0.000000      0.000000    0.000000  
2018-06-01           0.237755      0.000000    0.000000  
2018-07-01          13.159691      0.000000    0.000000  
2018-08-01           0.943633      0.000000    0.000000  
2018-09-01           0.269395      0.000000    0.000000  
2018-10-01           0.226521      0.000000    0.000000  
2018-11-01           0.289205      0.000000    0.000000  
2018-12-01           0.161961      0.000000    0.000000  
2019-01-01           0.132307      0.000000    0.000000  
2019-02-01           0.015155     35.031962    0.349033  
2019-03-01           0.071582     78.277001    0.769502  
2019-04-01           0.000727     82.809932    0.545462  
2019-05-01           0.002130     47.369972   38.616627  
2019-06-01           0.001654     82.626963    2.049433  
2019-07-01           0.002662     84.760837    0.886579  
2019-08-01           0.000124     87.152569    0.879341  
2019-09-01           0.000752     85.867595    0.884888  
2019-10-01           0.000751     86.827955    0.955143  
2019-11-01           0.000000     86.145348    1.123835  
