            full/TLSv1.3draft18  SH/TLSv1.3draft18  SH/TLSv1.3draft19  \
date                                                                    
2017-10-01             0.000000           4.180720           0.000000   
2017-11-01             0.000000           3.878766           0.000000   
2017-12-01             0.000000           4.027340           0.000000   
2018-01-01             0.000000           4.073088           0.000000   
2018-02-01             1.136123           0.471280           0.000068   
2018-03-01             1.650340           0.009082           0.000114   
2018-04-01             1.679410           0.010616           0.000112   
2018-05-01             1.584579           0.011960           0.000114   
2018-06-01             1.542723           0.007656           0.000115   
2018-07-01             0.858268           0.005919           0.000107   
2018-08-01             0.580842           0.004737           0.000112   
2018-09-01             0.420494           0.003282           0.000109   
2018-10-01             0.322654           0.003838           0.000013   
2018-11-01             0.244447           0.003447           0.000003   
2018-12-01             0.209697           0.001998           0.000003   
2019-01-01             0.172003           0.001861           0.000003   
2019-02-01             0.143593           0.003998           0.000003   
2019-03-01             0.000000           0.143092           0.000002   
2019-04-01             0.000000           0.196221           0.000000   
2019-05-01             0.000000           0.085115           0.000001   
2019-06-01             0.110735           0.001470           0.000000   
2019-07-01             0.067668           0.000906           0.000000   
2019-08-01             0.052191           0.000551           0.000000   
2019-09-01             0.046500           0.000499           0.000000   
2019-10-01             0.050539           0.000470           0.000000   
2019-11-01             0.053995           0.000452           0.000000   

            full/TLSv1.3draft21  SH/TLSv1.3draft21  full/TLSv1.3draft22  \
date                                                                      
2017-10-01             0.000000           0.000000             0.000000   
2017-11-01             0.000000           0.000000             0.000000   
2017-12-01             0.000000           0.000000             0.000000   
2018-01-01             0.000000           0.000000             0.000000   
2018-02-01             0.000157           0.000078             2.071895   
2018-03-01             0.000239           0.000062             0.145379   
2018-04-01             0.000222           0.000059             0.057869   
2018-05-01             0.000009           0.000063             0.000011   
2018-06-01             0.000001           0.000134             0.000010   
2018-07-01             0.000001           0.000120             0.000018   
2018-08-01             0.000003           0.000121             0.000009   
2018-09-01             0.000001           0.000125             0.000010   
2018-10-01             0.000001           0.000115             0.000010   
2018-11-01             0.000000           0.000000             0.000001   
2018-12-01             0.000000           0.000000             0.000000   
2019-01-01             0.000000           0.000000             0.000000   
2019-02-01             0.000000           0.000000             0.000000   
2019-03-01             0.000000           0.000002             0.000000   
2019-04-01             0.000000           0.000006             0.000000   
2019-05-01             0.000000           0.000000             0.000000   
2019-06-01             0.000000           0.000000             0.000000   
2019-07-01             0.000000           0.000000             0.000000   
2019-08-01             0.000000           0.000000             0.000000   
2019-09-01             0.000000           0.000000             0.000000   
2019-10-01             0.000000           0.000000             0.000000   
2019-11-01             0.000000           0.000000             0.000000   

            SH/TLSv1.3draft22  full/TLSv1.3draft23  SH/TLSv1.3draft23  \
date                                                                    
2017-10-01           0.000000             0.000000           0.000000   
2017-11-01           0.000000             0.000000           0.000000   
2017-12-01           0.000000             0.000000           0.000000   
2018-01-01           0.000000             0.000000           0.000000   
2018-02-01           0.040407             0.000000           0.000000   
2018-03-01           0.001126             2.656858           0.038043   
2018-04-01           0.000047             2.741921           0.037928   
2018-05-01           0.000000             3.106345           0.034355   
2018-06-01           0.000000             3.334863           0.061070   
2018-07-01           0.000000             4.805152           0.648339   
2018-08-01           0.000000             5.642243           0.512478   
2018-09-01           0.000000             6.485952           0.333524   
2018-10-01           0.000001             6.384450           0.236419   
2018-11-01           0.000000             6.510708           0.234112   
2018-12-01           0.000000             6.754869           0.190875   
2019-01-01           0.000000             6.869191           0.167907   
2019-02-01           0.000000             0.655014           0.091977   
2019-03-01           0.000000             0.000000           0.114261   
2019-04-01           0.000000             0.000000           0.087144   
2019-05-01           0.000000             0.000000           0.074305   
2019-06-01           0.000000             0.057046           0.000836   
2019-07-01           0.000000             0.068496           0.000519   
2019-08-01           0.000000             0.058896           0.000472   
2019-09-01           0.000000             0.056475           0.000187   
2019-10-01           0.000000             0.052992           0.000150   
2019-11-01           0.000000             0.044648           0.000157   

            full/TLSv1.3draft26  SH/TLSv1.3draft26  full/TLSv1.3draft28  \
date                                                                      
2017-10-01             0.000000           0.000000             0.000000   
2017-11-01             0.000000           0.000000             0.000000   
2017-12-01             0.000000           0.000000             0.000000   
2018-01-01             0.000000           0.000000             0.000000   
2018-02-01             0.000000           0.000000             0.000000   
2018-03-01             0.000000           0.000000             0.000000   
2018-04-01             0.000000           0.000000             0.000000   
2018-05-01             0.000000           0.000000             0.000000   
2018-06-01             0.000000           0.000000             0.000000   
2018-07-01             0.000000           0.000000             0.000000   
2018-08-01             0.000000           0.000000             0.000000   
2018-09-01             0.000000           0.000000             0.000000   
2018-10-01             0.000000           0.000000             0.000000   
2018-11-01             0.000000           0.000000             0.000000   
2018-12-01             0.000000           0.000000             0.000000   
2019-01-01             0.000000           0.000000             0.000000   
2019-02-01             0.001757           0.000001             0.003746   
2019-03-01             0.002002           0.000002             0.004368   
2019-04-01             0.002356           0.000000             0.004150   
2019-05-01             0.001675           0.000006             0.001506   
2019-06-01             0.001668           0.000029             0.002050   
2019-07-01             0.001593           0.000000             0.001868   
2019-08-01             0.000767           0.000000             0.001708   
2019-09-01             0.000001           0.000000             0.001498   
2019-10-01             0.000001           0.000000             0.001452   
2019-11-01             0.000001           0.000000             0.001394   

            SH/TLSv1.3draft28  full/TLSv1.3  SH/TLSv1.3  
date                                                     
2017-10-01           0.000000      0.000000    0.000000  
2017-11-01           0.000000      0.000000    0.000000  
2017-12-01           0.000000      0.000000    0.000000  
2018-01-01           0.000000      0.000000    0.000000  
2018-02-01           0.000000      0.000000    0.000000  
2018-03-01           0.000000      0.000000    0.000000  
2018-04-01           0.000000      0.000000    0.000000  
2018-05-01           0.000000      0.000000    0.000000  
2018-06-01           0.000000      0.000000    0.000000  
2018-07-01           0.000000      0.000000    0.000000  
2018-08-01           0.000000      0.000000    0.000000  
2018-09-01           0.000000      0.000000    0.000000  
2018-10-01           0.000000      0.000000    0.000000  
2018-11-01           0.000000      0.000000    0.000000  
2018-12-01           0.000000      0.000000    0.000000  
2019-01-01           0.000000      0.000000    0.000000  
2019-02-01           0.000115      6.803287    0.101120  
2019-03-01           0.000128      8.095499    0.109331  
2019-04-01           0.000116     10.903727    0.106517  
2019-05-01           0.000925      6.666933    2.386044  
2019-06-01           0.000130      6.143664    3.985430  
2019-07-01           0.000065      6.729785    4.704868  
2019-08-01           0.000029      7.500815    4.816058  
2019-09-01           0.000025      7.808651    4.886539  
2019-10-01           0.000032      9.429654    4.832170  
2019-11-01           0.000067     12.809209    0.168883  
