            full/TLSv1.3draft18  SH/TLSv1.3draft18  SH/TLSv1.3draft19  \
date                                                                    
2017-11-01             0.000000           3.900063           0.000000   
2017-12-01             0.000000           4.017580           0.000000   
2018-01-01             0.000000           4.101825           0.000000   
2018-02-01             1.151802           0.465255           0.000077   
2018-03-01             1.657382           0.009010           0.000122   
2018-04-01             1.694469           0.010240           0.000119   
2018-05-01             1.602210           0.009147           0.000121   
2018-06-01             1.558276           0.007611           0.000118   
2018-07-01             0.839826           0.005735           0.000116   
2018-08-01             0.566931           0.004497           0.000121   
2018-09-01             0.404282           0.002985           0.000117   
2018-10-01             0.296136           0.003527           0.000013   
2018-11-01             0.217402           0.003175           0.000003   
2018-12-01             0.180870           0.001654           0.000003   
2019-01-01             0.149779           0.001514           0.000003   
2019-02-01             0.122765           0.003296           0.000003   
2019-03-01             0.000000           0.112013           0.000002   
2019-04-01             0.000000           0.097965           0.000000   
2019-05-01             0.000000           0.062503           0.000001   
2019-06-01             0.047736           0.000663           0.000000   
2019-07-01             0.044402           0.000603           0.000000   
2019-08-01             0.031768           0.000296           0.000000   
2019-09-01             0.025881           0.000252           0.000000   
2019-10-01             0.031701           0.000211           0.000000   
2019-11-01             0.031230           0.000174           0.000000   

            full/TLSv1.3draft21  SH/TLSv1.3draft21  full/TLSv1.3draft22  \
date                                                                      
2017-11-01             0.000000           0.000000             0.000000   
2017-12-01             0.000000           0.000000             0.000000   
2018-01-01             0.000000           0.000000             0.000000   
2018-02-01             0.000077           0.000086             2.055514   
2018-03-01             0.000182           0.000063             0.129603   
2018-04-01             0.000166           0.000062             0.054571   
2018-05-01             0.000005           0.000071             0.000005   
2018-06-01             0.000002           0.000152             0.000002   
2018-07-01             0.000001           0.000136             0.000003   
2018-08-01             0.000001           0.000131             0.000003   
2018-09-01             0.000001           0.000138             0.000003   
2018-10-01             0.000001           0.000078             0.000003   
2018-11-01             0.000000           0.000000             0.000001   
2018-12-01             0.000000           0.000000             0.000000   
2019-01-01             0.000000           0.000000             0.000000   
2019-02-01             0.000000           0.000000             0.000000   
2019-03-01             0.000000           0.000000             0.000000   
2019-04-01             0.000000           0.000000             0.000000   
2019-05-01             0.000000           0.000000             0.000000   
2019-06-01             0.000000           0.000000             0.000000   
2019-07-01             0.000000           0.000000             0.000000   
2019-08-01             0.000000           0.000000             0.000000   
2019-09-01             0.000000           0.000000             0.000000   
2019-10-01             0.000000           0.000000             0.000000   
2019-11-01             0.000000           0.000000             0.000000   

            SH/TLSv1.3draft22  full/TLSv1.3draft23  SH/TLSv1.3draft23  \
date                                                                    
2017-11-01           0.000000             0.000000           0.000000   
2017-12-01           0.000000             0.000000           0.000000   
2018-01-01           0.000000             0.000000           0.000000   
2018-02-01           0.031653             0.000000           0.000000   
2018-03-01           0.000663             2.641231           0.031963   
2018-04-01           0.000020             2.718363           0.036618   
2018-05-01           0.000000             3.126655           0.035125   
2018-06-01           0.000000             3.301807           0.054925   
2018-07-01           0.000000             4.884598           0.665052   
2018-08-01           0.000000             5.495090           0.509847   
2018-09-01           0.000000             6.127448           0.311484   
2018-10-01           0.000001             6.080986           0.231310   
2018-11-01           0.000000             6.263522           0.229528   
2018-12-01           0.000000             6.489788           0.185473   
2019-01-01           0.000000             6.608258           0.166312   
2019-02-01           0.000000             0.387949           0.093027   
2019-03-01           0.000000             0.000000           0.119534   
2019-04-01           0.000000             0.000000           0.102074   
2019-05-01           0.000000             0.000000           0.073666   
2019-06-01           0.000000             0.065951           0.001002   
2019-07-01           0.000000             0.067198           0.000515   
2019-08-01           0.000000             0.063154           0.000533   
2019-09-01           0.000000             0.060458           0.000209   
2019-10-01           0.000000             0.056183           0.000156   
2019-11-01           0.000000             0.046522           0.000161   

            full/TLSv1.3draft26  SH/TLSv1.3draft26  full/TLSv1.3draft28  \
date                                                                      
2017-11-01             0.000000           0.000000             0.000000   
2017-12-01             0.000000           0.000000             0.000000   
2018-01-01             0.000000           0.000000             0.000000   
2018-02-01             0.000000           0.000000             0.000000   
2018-03-01             0.000000           0.000000             0.000000   
2018-04-01             0.000000           0.000000             0.000000   
2018-05-01             0.000000           0.000000             0.000000   
2018-06-01             0.000000           0.000000             0.000000   
2018-07-01             0.000000           0.000000             0.000000   
2018-08-01             0.000000           0.000000             0.000000   
2018-09-01             0.000000           0.000000             0.000000   
2018-10-01             0.000000           0.000000             0.000000   
2018-11-01             0.000000           0.000000             0.000000   
2018-12-01             0.000000           0.000000             0.000000   
2019-01-01             0.000000           0.000000             0.000000   
2019-02-01             0.001998           0.000001             0.003904   
2019-03-01             0.002279           0.000002             0.004317   
2019-04-01             0.000970           0.000000             0.004409   
2019-05-01             0.001854           0.000006             0.001377   
2019-06-01             0.001827           0.000036             0.001895   
2019-07-01             0.001874           0.000000             0.001776   
2019-08-01             0.000890           0.000000             0.001620   
2019-09-01             0.000001           0.000000             0.001461   
2019-10-01             0.000001           0.000000             0.001368   
2019-11-01             0.000001           0.000000             0.001353   

