            full/TLSv1.3draft18  SH/TLSv1.3draft18  SH/TLSv1.3draft19  \
date                                                                    
2017-10-01             0.000000          12.663512           0.000000   
2017-11-01             0.000000          12.755418           0.000000   
2017-12-01             0.000000          13.007275           0.000000   
2018-01-01             0.000000           9.462841           0.000000   
2018-02-01             1.714815           0.009616           0.000000   
2018-03-01             1.883082           0.006507           0.000071   
2018-04-01             1.935792           0.006168           0.000130   
2018-05-01             1.814572           0.006187           0.000073   
2018-06-01             1.710425           0.006791           0.000135   
2018-07-01             1.028636           0.005274           0.000049   
2018-08-01             0.747583           0.003981           0.000057   
2018-09-01             0.521600           0.002688           0.000056   
2018-10-01             0.400510           0.002372           0.000070   
2018-11-01             0.307079           0.001804           0.000000   
2018-12-01             0.288150           0.001360           0.000000   
2019-01-01             0.229332           0.001353           0.000000   
2019-02-01             0.162217           0.015057           0.000000   
2019-03-01             0.000000           0.147005           0.000000   
2019-04-01             0.000000           0.127650           0.000000   
2019-05-01             0.000000           0.104466           0.000000   
2019-06-01             0.055674           0.001841           0.000000   
2019-07-01             0.074112           0.001823           0.000000   
2019-08-01             0.063855           0.000537           0.000000   
2019-09-01             0.050867           0.000545           0.000000   
2019-10-01             0.042695           0.000600           0.000000   

            full/TLSv1.3draft21  SH/TLSv1.3draft21  full/TLSv1.3draft22  \
date                                                                      
2017-10-01             0.000000           0.000000             0.000000   
2017-11-01             0.000000           0.000000             0.000000   
2017-12-01             0.000000           0.000000             0.000000   
2018-01-01             0.000000           0.000000             0.000000   
2018-02-01             0.003205           0.000123             9.621283   
2018-03-01             0.001209           0.000196             0.458987   
2018-04-01             0.001037           0.000148             0.003223   
2018-05-01             0.000018           0.000109             0.000000   
2018-06-01             0.000000           0.000096             0.000000   
2018-07-01             0.000000           0.000195             0.000000   
2018-08-01             0.000000           0.000209             0.000000   
2018-09-01             0.000000           0.000131             0.000000   
2018-10-01             0.000000           0.000141             0.000000   
2018-11-01             0.000000           0.000000             0.000000   
2018-12-01             0.000000           0.000000             0.000000   
2019-01-01             0.000000           0.000000             0.000000   
2019-02-01             0.000000           0.000000             0.000000   
2019-03-01             0.000000           0.000000             0.000000   
2019-04-01             0.000000           0.000000             0.000000   
2019-05-01             0.000000           0.000000             0.000000   
2019-06-01             0.000000           0.000000             0.000000   
2019-07-01             0.000000           0.000000             0.000000   
2019-08-01             0.000000           0.000000             0.000000   
2019-09-01             0.000000           0.000000             0.000000   
2019-10-01             0.000000           0.000000             0.000000   

            SH/TLSv1.3draft22  full/TLSv1.3draft23  SH/TLSv1.3draft23  \
date                                                                    
2017-10-01           0.000000             0.000000           0.000000   
2017-11-01           0.000000             0.000000           0.000000   
2017-12-01           0.000000             0.000000           0.000000   
2018-01-01           0.000000             0.000000           0.000000   
2018-02-01           0.081247             0.000000           0.000000   
2018-03-01           0.004107             5.262761           0.032145   
2018-04-01           0.000000             5.868755           0.037599   
2018-05-01           0.000000             6.160664           0.038171   
2018-06-01           0.000000             6.583206           0.191488   
2018-07-01           0.000016             7.525160           0.926735   
2018-08-01           0.000000             9.744603           0.768512   
2018-09-01           0.000000            10.414956           0.484619   
2018-10-01           0.000000            10.494592           0.308944   
2018-11-01           0.000000            11.025238           0.270394   
2018-12-01           0.000000            11.181509           0.252013   
2019-01-01           0.000000            11.168153           0.204927   
2019-02-01           0.000000             2.920381           0.115994   
2019-03-01           0.000000             0.000000           0.120205   
2019-04-01           0.000000             0.000000           0.122026   
2019-05-01           0.000000             0.000000           0.106945   
2019-06-01           0.000000             0.053135           0.000444   
2019-07-01           0.000000             0.133799           0.000919   
2019-08-01           0.000000             0.075751           0.000222   
2019-09-01           0.000000             0.075610           0.000409   
2019-10-01           0.000000             0.073537           0.000455   

            full/TLSv1.3draft26  SH/TLSv1.3draft26  full/TLSv1.3draft28  \
date                                                                      
2017-10-01             0.000000           0.000000             0.000000   
